"id","pokemon","description","Doc","Tokens","Lemmas","POS","Proper_Nouns","Named_Entities","NE_Words"
"12","butterfree","in battle it flaps its wings at high speed to release highly toxic dust into the air","in battle it flaps its wings at high speed to release highly toxic dust into the air","['in', 'battle', 'it', 'flaps', 'its', 'wings', 'at', 'high', 'speed', 'to', 'release', 'highly', 'toxic', 'dust', 'into', 'the', 'air']","['in', 'battle', 'it', 'flap', 'its', 'wing', 'at', 'high', 'speed', 'to', 'release', 'highly', 'toxic', 'dust', 'into', 'the', 'air']","[('ADP', 'IN'), ('NOUN', 'NN'), ('PRON', 'PRP'), ('VERB', 'VBZ'), ('PRON', 'PRP$'), ('NOUN', 'NNS'), ('ADP', 'IN'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('PART', 'TO'), ('VERB', 'VB'), ('ADV', 'RB'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('ADP', 'IN'), ('DET', 'DT'), ('NOUN', 'NN')]","[]","[]","[]"
"13","weedle","often found in forests eating leaves it has a sharp venomous stinger on its head","often found in forests eating leaves it has a sharp venomous stinger on its head","['often', 'found', 'in', 'forests', 'eating', 'leaves', 'it', 'has', 'a', 'sharp', 'venomous', 'stinger', 'on', 'its', 'head']","['often', 'find', 'in', 'forest', 'eat', 'leave', 'it', 'have', 'a', 'sharp', 'venomous', 'stinger', 'on', 'its', 'head']","[('ADV', 'RB'), ('VERB', 'VBN'), ('ADP', 'IN'), ('NOUN', 'NNS'), ('VERB', 'VBG'), ('NOUN', 'NNS'), ('PRON', 'PRP'), ('VERB', 'VBZ'), ('DET', 'DT'), ('ADJ', 'JJ'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('ADP', 'IN'), ('PRON', 'PRP$'), ('NOUN', 'NN')]","[]","[]","[]"
"14","kakuna","almost incapable of moving this pokmon can only harden its shell to protect itself from predators","almost incapable of moving this pokmon can only harden its shell to protect itself from predators","['almost', 'incapable', 'of', 'moving', 'this', 'pokmon', 'can', 'only', 'harden', 'its', 'shell', 'to', 'protect', 'itself', 'from', 'predators']","['almost', 'incapable', 'of', 'move', 'this', 'pokmon', 'can', 'only', 'harden', 'its', 'shell', 'to', 'protect', 'itself', 'from', 'predator']","[('ADV', 'RB'), ('ADJ', 'JJ'), ('ADP', 'IN'), ('VERB', 'VBG'), ('DET', 'DT'), ('NOUN', 'NN'), ('AUX', 'MD'), ('ADV', 'RB'), ('VERB', 'VB'), ('PRON', 'PRP$'), ('NOUN', 'NN'), ('PART', 'TO'), ('VERB', 'VB'), ('PRON', 'PRP'), ('ADP', 'IN'), ('NOUN', 'NNS')]","[]","[]","[]"
"15","beedrill","it has three poisonous stingers on its forelegs and its tail they are used to jab its enemy repeatedly","it has three poisonous stingers on its forelegs and its tail they are used to jab its enemy repeatedly","['it', 'has', 'three', 'poisonous', 'stingers', 'on', 'its', 'forelegs', 'and', 'its', 'tail', 'they', 'are', 'used', 'to', 'jab', 'its', 'enemy', 'repeatedly']","['it', 'have', 'three', 'poisonous', 'stinger', 'on', 'its', 'foreleg', 'and', 'its', 'tail', 'they', 'be', 'use', 'to', 'jab', 'its', 'enemy', 'repeatedly']","[('PRON', 'PRP'), ('VERB', 'VBZ'), ('NUM', 'CD'), ('ADJ', 'JJ'), ('NOUN', 'NNS'), ('ADP', 'IN'), ('PRON', 'PRP$'), ('NOUN', 'NNS'), ('CCONJ', 'CC'), ('PRON', 'PRP$'), ('NOUN', 'NN'), ('PRON', 'PRP'), ('AUX', 'VBP'), ('VERB', 'VBN'), ('PART', 'TO'), ('VERB', 'VB'), ('PRON', 'PRP$'), ('NOUN', 'NN'), ('ADV', 'RB')]","[]","['CARDINAL']","[three]"
"16","pidgey","a common sight in forests and woods it flaps its wings at ground level to kick up blinding sand","a common sight in forests and woods it flaps its wings at ground level to kick up blinding sand","['a', 'common', 'sight', 'in', 'forests', 'and', 'woods', 'it', 'flaps', 'its', 'wings', 'at', 'ground', 'level', 'to', 'kick', 'up', 'blinding', 'sand']","['a', 'common', 'sight', 'in', 'forest', 'and', 'wood', 'it', 'flap', 'its', 'wing', 'at', 'ground', 'level', 'to', 'kick', 'up', 'blind', 'sand']","[('DET', 'DT'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('ADP', 'IN'), ('NOUN', 'NNS'), ('CCONJ', 'CC'), ('NOUN', 'NNS'), ('PRON', 'PRP'), ('VERB', 'VBZ'), ('PRON', 'PRP$'), ('NOUN', 'NNS'), ('ADP', 'IN'), ('NOUN', 'NN'), ('NOUN', 'NN'), ('PART', 'TO'), ('VERB', 'VB'), ('ADP', 'RP'), ('VERB', 'VBG'), ('NOUN', 'NN')]","[]","[]","[]"
"17","pidgeotto","very protective of its sprawling territorial area this pokmon will fiercely peck at any intruder","very protective of its sprawling territorial area this pokmon will fiercely peck at any intruder","['very', 'protective', 'of', 'its', 'sprawling', 'territorial', 'area', 'this', 'pokmon', 'will', 'fiercely', 'peck', 'at', 'any', 'intruder']","['very', 'protective', 'of', 'its', 'sprawling', 'territorial', 'area', 'this', 'pokmon', 'will', 'fiercely', 'peck', 'at', 'any', 'intruder']","[('ADV', 'RB'), ('ADJ', 'JJ'), ('ADP', 'IN'), ('PRON', 'PRP$'), ('ADJ', 'JJ'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('DET', 'DT'), ('NOUN', 'NN'), ('AUX', 'MD'), ('ADV', 'RB'), ('VERB', 'VB'), ('ADP', 'IN'), ('DET', 'DT'), ('NOUN', 'NN')]","[]","[]","[]"
"18","pidgeot","when hunting it skims the surface of water at high speed to pick off unwary prey such as magikarp","when hunting it skims the surface of water at high speed to pick off unwary prey such as magikarp","['when', 'hunting', 'it', 'skims', 'the', 'surface', 'of', 'water', 'at', 'high', 'speed', 'to', 'pick', 'off', 'unwary', 'prey', 'such', 'as', 'magikarp']","['when', 'hunt', 'it', 'skim', 'the', 'surface', 'of', 'water', 'at', 'high', 'speed', 'to', 'pick', 'off', 'unwary', 'prey', 'such', 'as', 'magikarp']","[('SCONJ', 'WRB'), ('VERB', 'VBG'), ('PRON', 'PRP'), ('VERB', 'VBZ'), ('DET', 'DT'), ('NOUN', 'NN'), ('ADP', 'IN'), ('NOUN', 'NN'), ('ADP', 'IN'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('PART', 'TO'), ('VERB', 'VB'), ('ADP', 'RP'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('ADJ', 'JJ'), ('ADP', 'IN'), ('NOUN', 'NN')]","[]","[]","[]"
"19","rattata","bites anything when it attacks small and very quick it is a common sight in many places","bites anything when it attacks small and very quick it is a common sight in many places","['bites', 'anything', 'when', 'it', 'attacks', 'small', 'and', 'very', 'quick', 'it', 'is', 'a', 'common', 'sight', 'in', 'many', 'places']","['bite', 'anything', 'when', 'it', 'attack', 'small', 'and', 'very', 'quick', 'it', 'be', 'a', 'common', 'sight', 'in', 'many', 'place']","[('VERB', 'VBZ'), ('PRON', 'NN'), ('SCONJ', 'WRB'), ('PRON', 'PRP'), ('VERB', 'VBZ'), ('ADJ', 'JJ'), ('CCONJ', 'CC'), ('ADV', 'RB'), ('ADJ', 'JJ'), ('PRON', 'PRP'), ('AUX', 'VBZ'), ('DET', 'DT'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('ADP', 'IN'), ('ADJ', 'JJ'), ('NOUN', 'NNS')]","[]","[]","[]"
"20","raticate","it uses its whis kers to maintain its balance it apparently slows down if they are cut off","it uses its whis kers to maintain its balance it apparently slows down if they are cut off","['it', 'uses', 'its', 'whis', 'kers', 'to', 'maintain', 'its', 'balance', 'it', 'apparently', 'slows', 'down', 'if', 'they', 'are', 'cut', 'off']","['it', 'use', 'its', 'whis', 'ker', 'to', 'maintain', 'its', 'balance', 'it', 'apparently', 'slow', 'down', 'if', 'they', 'be', 'cut', 'off']","[('PRON', 'PRP'), ('VERB', 'VBZ'), ('PRON', 'PRP$'), ('ADJ', 'JJ'), ('NOUN', 'NNS'), ('PART', 'TO'), ('VERB', 'VB'), ('PRON', 'PRP$'), ('NOUN', 'NN'), ('PRON', 'PRP'), ('ADV', 'RB'), ('VERB', 'VBZ'), ('ADP', 'RP'), ('SCONJ', 'IN'), ('PRON', 'PRP'), ('AUX', 'VBP'), ('VERB', 'VBN'), ('ADP', 'RP')]","[]","[]","[]"
"21","spearow","it flaps its small wings busily to fly using its beak it searches in grass for prey","it flaps its small wings busily to fly using its beak it searches in grass for prey","['it', 'flaps', 'its', 'small', 'wings', 'busily', 'to', 'fly', 'using', 'its', 'beak', 'it', 'searches', 'in', 'grass', 'for', 'prey']","['it', 'flap', 'its', 'small', 'wing', 'busily', 'to', 'fly', 'use', 'its', 'beak', 'it', 'search', 'in', 'grass', 'for', 'prey']","[('PRON', 'PRP'), ('VERB', 'VBZ'), ('PRON', 'PRP$'), ('ADJ', 'JJ'), ('NOUN', 'NNS'), ('ADV', 'RB'), ('PART', 'TO'), ('VERB', 'VB'), ('VERB', 'VBG'), ('PRON', 'PRP$'), ('NOUN', 'NN'), ('PRON', 'PRP'), ('VERB', 'VBZ'), ('ADP', 'IN'), ('NOUN', 'NN'), ('ADP', 'IN'), ('PROPN', 'NNP')]","['prey']","[]","[]"
"22","fearow","with its huge and magnificent wings it can keep aloft without ever having to land for rest","with its huge and magnificent wings it can keep aloft without ever having to land for rest","['with', 'its', 'huge', 'and', 'magnificent', 'wings', 'it', 'can', 'keep', 'aloft', 'without', 'ever', 'having', 'to', 'land', 'for', 'rest']","['with', 'its', 'huge', 'and', 'magnificent', 'wing', 'it', 'can', 'keep', 'aloft', 'without', 'ever', 'have', 'to', 'land', 'for', 'rest']","[('ADP', 'IN'), ('PRON', 'PRP$'), ('ADJ', 'JJ'), ('CCONJ', 'CC'), ('ADJ', 'JJ'), ('NOUN', 'NNS'), ('PRON', 'PRP'), ('AUX', 'MD'), ('VERB', 'VB'), ('ADV', 'RB'), ('ADP', 'IN'), ('ADV', 'RB'), ('VERB', 'VBG'), ('PART', 'TO'), ('VERB', 'VB'), ('ADP', 'IN'), ('NOUN', 'NN')]","[]","[]","[]"
"23","ekans","moves silently and stealthily eats the eggs of birds such as pidgey and spearow whole","moves silently and stealthily eats the eggs of birds such as pidgey and spearow whole","['moves', 'silently', 'and', 'stealthily', 'eats', 'the', 'eggs', 'of', 'birds', 'such', 'as', 'pidgey', 'and', 'spearow', 'whole']","['move', 'silently', 'and', 'stealthily', 'eat', 'the', 'egg', 'of', 'bird', 'such', 'as', 'pidgey', 'and', 'spearow', 'whole']","[('VERB', 'VBZ'), ('ADV', 'RB'), ('CCONJ', 'CC'), ('ADV', 'RB'), ('VERB', 'VBZ'), ('DET', 'DT'), ('NOUN', 'NNS'), ('ADP', 'IN'), ('NOUN', 'NNS'), ('ADJ', 'JJ'), ('ADP', 'IN'), ('PROPN', 'NNP'), ('CCONJ', 'CC'), ('NOUN', 'NN'), ('ADV', 'RB')]","['pidgey']","[]","[]"
"24","arbok","it is rumored that the ferocious warning markings on its belly differ from area to area","it is rumored that the ferocious warning markings on its belly differ from area to area","['it', 'is', 'rumored', 'that', 'the', 'ferocious', 'warning', 'markings', 'on', 'its', 'belly', 'differ', 'from', 'area', 'to', 'area']","['it', 'be', 'rumor', 'that', 'the', 'ferocious', 'warning', 'marking', 'on', 'its', 'belly', 'differ', 'from', 'area', 'to', 'area']","[('PRON', 'PRP'), ('AUX', 'VBZ'), ('VERB', 'VBN'), ('SCONJ', 'IN'), ('DET', 'DT'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('NOUN', 'NNS'), ('ADP', 'IN'), ('PRON', 'PRP$'), ('NOUN', 'NN'), ('VERB', 'VBP'), ('ADP', 'IN'), ('NOUN', 'NN'), ('ADP', 'IN'), ('NOUN', 'NN')]","[]","[]","[]"
"25","pikachu","when several of these pokmon gather their electricity could build and cause lightning storms","when several of these pokmon gather their electricity could build and cause lightning storms","['when', 'several', 'of', 'these', 'pokmon', 'gather', 'their', 'electricity', 'could', 'build', 'and', 'cause', 'lightning', 'storms']","['when', 'several', 'of', 'these', 'pokmon', 'gather', 'their', 'electricity', 'could', 'build', 'and', 'cause', 'lightning', 'storm']","[('SCONJ', 'WRB'), ('ADJ', 'JJ'), ('ADP', 'IN'), ('DET', 'DT'), ('NOUN', 'NN'), ('VERB', 'VB'), ('PRON', 'PRP$'), ('NOUN', 'NN'), ('AUX', 'MD'), ('VERB', 'VB'), ('CCONJ', 'CC'), ('VERB', 'VB'), ('NOUN', 'NN'), ('NOUN', 'NNS')]","[]","[]","[]"
"26","raichu","its long tail serves as a ground to protect itself from its own highvoltage power","its long tail serves as a ground to protect itself from its own highvoltage power","['its', 'long', 'tail', 'serves', 'as', 'a', 'ground', 'to', 'protect', 'itself', 'from', 'its', 'own', 'highvoltage', 'power']","['its', 'long', 'tail', 'serve', 'as', 'a', 'ground', 'to', 'protect', 'itself', 'from', 'its', 'own', 'highvoltage', 'power']","[('PRON', 'PRP$'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('VERB', 'VBZ'), ('ADP', 'IN'), ('DET', 'DT'), ('NOUN', 'NN'), ('PART', 'TO'), ('VERB', 'VB'), ('PRON', 'PRP'), ('ADP', 'IN'), ('PRON', 'PRP$'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('NOUN', 'NN')]","[]","[]","[]"
"27","sandshrew","burrows deep underground in arid locations far from water it only emerges to hunt for food","burrows deep underground in arid locations far from water it only emerges to hunt for food","['burrows', 'deep', 'underground', 'in', 'arid', 'locations', 'far', 'from', 'water', 'it', 'only', 'emerges', 'to', 'hunt', 'for', 'food']","['burrow', 'deep', 'underground', 'in', 'arid', 'location', 'far', 'from', 'water', 'it', 'only', 'emerge', 'to', 'hunt', 'for', 'food']","[('NOUN', 'NNS'), ('ADV', 'RB'), ('ADV', 'RB'), ('ADP', 'IN'), ('ADJ', 'JJ'), ('NOUN', 'NNS'), ('ADV', 'RB'), ('ADP', 'IN'), ('NOUN', 'NN'), ('PRON', 'PRP'), ('ADV', 'RB'), ('VERB', 'VBZ'), ('PART', 'TO'), ('VERB', 'VB'), ('ADP', 'IN'), ('NOUN', 'NN')]","[]","[]","[]"
"28","sandslash","curls up into a spiny ball when threatened it can roll while curled up to attack or escape","curls up into a spiny ball when threatened it can roll while curled up to attack or escape","['curls', 'up', 'into', 'a', 'spiny', 'ball', 'when', 'threatened', 'it', 'can', 'roll', 'while', 'curled', 'up', 'to', 'attack', 'or', 'escape']","['curl', 'up', 'into', 'a', 'spiny', 'ball', 'when', 'threaten', 'it', 'can', 'roll', 'while', 'curl', 'up', 'to', 'attack', 'or', 'escape']","[('NOUN', 'NNS'), ('ADP', 'RP'), ('ADP', 'IN'), ('DET', 'DT'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('SCONJ', 'WRB'), ('VERB', 'VBD'), ('PRON', 'PRP'), ('AUX', 'MD'), ('VERB', 'VB'), ('SCONJ', 'IN'), ('VERB', 'VBN'), ('ADP', 'RP'), ('PART', 'TO'), ('VERB', 'VB'), ('CCONJ', 'CC'), ('VERB', 'VB')]","[]","[]","[]"
"29","nidoran-f","although small its venomous barbs render this pokmon dangerous the female has smaller horns","although small its venomous barbs render this pokmon dangerous the female has smaller horns","['although', 'small', 'its', 'venomous', 'barbs', 'render', 'this', 'pokmon', 'dangerous', 'the', 'female', 'has', 'smaller', 'horns']","['although', 'small', 'its', 'venomous', 'barb', 'render', 'this', 'pokmon', 'dangerous', 'the', 'female', 'have', 'small', 'horn']","[('SCONJ', 'IN'), ('ADJ', 'JJ'), ('PRON', 'PRP$'), ('ADJ', 'JJ'), ('NOUN', 'NNS'), ('VERB', 'VBP'), ('DET', 'DT'), ('NOUN', 'NN'), ('ADJ', 'JJ'), ('DET', 'DT'), ('NOUN', 'NN'), ('VERB', 'VBZ'), ('ADJ', 'JJR'), ('NOUN', 'NNS')]","[]","[]","[]"
"30","nidorina","the females horn develops slowly prefers physical attacks such as clawing and biting","the females horn develops slowly prefers physical attacks such as clawing and biting","['the', 'females', 'horn', 'develops', 'slowly', 'prefers', 'physical', 'attacks', 'such', 'as', 'clawing', 'and', 'biting']","['the', 'female', 'horn', 'develop', 'slowly', 'prefer', 'physical', 'attack', 'such', 'as', 'clawing', 'and', 'bite']","[('DET', 'DT'), ('NOUN', 'NNS'), ('NOUN', 'NN'), ('VERB', 'VBZ'), ('ADV', 'RB'), ('VERB', 'VBZ'), ('ADJ', 'JJ'), ('NOUN', 'NNS'), ('ADJ', 'JJ'), ('ADP', 'IN'), ('NOUN', 'NN'), ('CCONJ', 'CC'), ('VERB', 'VBG')]","[]","[]","[]"
"31","nidoqueen","its hard scales provide strong protection it uses its hefty bulk to execute powerful moves","its hard scales provide strong protection it uses its hefty bulk to execute powerful moves","['its', 'hard', 'scales', 'provide', 'strong', 'protection', 'it', 'uses', 'its', 'hefty', 'bulk', 'to', 'execute', 'powerful', 'moves']","['its', 'hard', 'scale', 'provide', 'strong', 'protection', 'it', 'use', 'its', 'hefty', 'bulk', 'to', 'execute', 'powerful', 'move']","[('PRON', 'PRP$'), ('ADJ', 'JJ'), ('NOUN', 'NNS'), ('VERB', 'VBP'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('PRON', 'PRP'), ('VERB', 'VBZ'), ('PRON', 'PRP$'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('PART', 'TO'), ('VERB', 'VB'), ('ADJ', 'JJ'), ('NOUN', 'NNS')]","[]","[]","[]"
"32","nidoran-m","stiffens its ears to sense danger the larger its horns the more powerful its secreted venom","stiffens its ears to sense danger the larger its horns the more powerful its secreted venom","['stiffens', 'its', 'ears', 'to', 'sense', 'danger', 'the', 'larger', 'its', 'horns', 'the', 'more', 'powerful', 'its', 'secreted', 'venom']","['stiffen', 'its', 'ear', 'to', 'sense', 'danger', 'the', 'large', 'its', 'horn', 'the', 'more', 'powerful', 'its', 'secrete', 'venom']","[('VERB', 'VBZ'), ('PRON', 'PRP$'), ('NOUN', 'NNS'), ('PART', 'TO'), ('VERB', 'VB'), ('NOUN', 'NN'), ('PRON', 'DT'), ('ADJ', 'JJR'), ('PRON', 'PRP$'), ('NOUN', 'NNS'), ('PRON', 'DT'), ('ADV', 'RBR'), ('ADJ', 'JJ'), ('PRON', 'PRP$'), ('VERB', 'VBN'), ('NOUN', 'NN')]","[]","[]","[]"
